2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column full_name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column login_name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column location db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column website db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column rands db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column salt db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column last_repo_visibility db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column is_active db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column is_admin db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column allow_git_hook db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column allow_import_local db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column prohibit_login db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column use_custom_avatar db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column num_followers db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column num_stars db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column num_repos db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column description db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column num_teams db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.710387 Table user Column num_members db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.714395 Table public_key Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.714395 Table public_key Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.718366 Table two_factor Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.718366 Table two_factor Column secret db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.718366 Table two_factor Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.721359 Table two_factor_recovery_code Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.721359 Table two_factor_recovery_code Column code db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.721359 Table two_factor_recovery_code Column is_used db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column owner_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column description db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column website db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column default_branch db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column use_custom_avatar db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_watches db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_stars db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_forks db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_closed_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_pulls db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column num_closed_pulls db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column is_private db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column is_bare db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column is_mirror db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column allow_public_wiki db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column enable_external_wiki db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column external_wiki_url db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column allow_public_issues db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column enable_external_tracker db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column external_tracker_url db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column external_tracker_format db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column external_tracker_style db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column fork_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.725347 Table repository Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.729337 Table deploy_key Column key_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.729337 Table deploy_key Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.729337 Table deploy_key Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.729337 Table deploy_key Column fingerprint db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.729337 Table deploy_key Column created_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.729337 Table deploy_key Column updated_unix db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.736319 Table access Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.736319 Table access Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.736319 Table access Column mode db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.740307 Table upload Column uuid db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.740307 Table upload Column name db default is 'NULL', struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.744298 Table watch Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.744298 Table watch Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.749284 Table star Column uid db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.749284 Table star Column repo_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.754271 Table follow Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.754271 Table follow Column follow_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.758259 Table action Column user_id db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.758259 Table action Column op_type db default is NULL, struct default is 
2021/04/20 18:34:00 [xorm] [warn]  2021/04/20 18:34:00.758259 Table action Column act_user_id db default is NULL, struct default is 
